condition	seeds	mean_mapped_to_mapped	sd_mapped_to_mapped	mean_mapped_to_unmapped	sd_mapped_to_unmapped	mean_unmapped_to_mapped	sd_unmapped_to_mapped	mean_unmapped_to_unmapped	sd_unmapped_to_unmapped	mean_chromosome_changed	sd_chromosome_changed	mean_strand_changed	sd_strand_changed	mean_cigar_changed	sd_cigar_changed	mean_coordinate_shift_ge100	sd_coordinate_shift_ge100	mean_coordinate_shift_ge1000	sd_coordinate_shift_ge1000	mean_mean_coordinate_shift_bp	sd_mean_coordinate_shift_bp	mean_median_coordinate_shift_bp	sd_median_coordinate_shift_bp	mean_mean_mapq_change	sd_mean_mapq_change	mean_mapq_drop_ge5	sd_mapq_drop_ge5	mean_mapq_drop_ge10	sd_mapq_drop_ge10	mean_mean_nm_change	sd_mean_nm_change	mean_nm_increased_reads	sd_nm_increased_reads	mean_mean_soft_clip_change	sd_mean_soft_clip_change	mean_soft_clip_increased_reads	sd_soft_clip_increased_reads	mean_mean_hard_clip_change	sd_mean_hard_clip_change	mean_mean_insertion_change	sd_mean_insertion_change	mean_mean_deletion_change	sd_mean_deletion_change	mean_mean_aligned_query_length_change	sd_mean_aligned_query_length_change	mean_mean_reference_span_change	sd_mean_reference_span_change	mean_mean_secondary_count_change	sd_mean_secondary_count_change	mean_secondary_increased_reads	sd_secondary_increased_reads	mean_mean_supplementary_count_change	sd_mean_supplementary_count_change	mean_supplementary_increased_reads	sd_supplementary_increased_reads
GN01	3	970.000000	0.000000	0.000000	0.000000	0.000000	0.000000	30.000000	0.000000	3.666667	0.577350	4.333333	1.527525	882.666667	15.567059	9.000000	2.000000	6.666667	2.081666	847.631749	806.969011	0.000000	0.000000	0.001031	0.032158	2.666667	0.577350	1.666667	0.577350	1.469416	1.465106	456.666667	7.637626	-3.894845	2.132452	253.666667	5.507571	0.000000	0.000000	0.037457	0.569159	0.981100	1.861293	-0.219588	0.281258	0.724055	2.270846	-0.000333	0.004619	2.000000	1.000000	0.001333	0.001528	1.000000	1.000000
GN05	3	969.333333	1.154701	0.666667	1.154701	0.000000	0.000000	30.000000	0.000000	4.333333	0.577350	5.000000	1.732051	957.000000	0.000000	21.000000	2.000000	17.666667	2.081666	3314.030034	1141.327882	0.000000	0.000000	-0.110357	0.039263	12.666667	1.154701	7.333333	1.154701	33.836704	2.286717	848.666667	6.658328	-9.752413	0.328937	380.000000	9.539392	0.000000	0.000000	7.026360	0.623598	14.273158	2.567132	-8.305209	0.367158	-1.058411	2.679179	-0.001000	0.003606	7.000000	1.000000	-0.001333	0.000577	0.000000	0.000000
GN10	3	967.000000	1.000000	3.000000	1.000000	0.666667	0.577350	29.333333	0.577350	5.333333	0.577350	8.666667	1.154701	966.333333	1.527525	37.666667	2.081666	28.000000	1.732051	13116.656261	2020.155456	1.000000	0.000000	-0.586380	0.059351	37.333333	2.081666	27.333333	4.725816	167.661872	1.388846	940.000000	1.732051	1.502606	0.724382	600.666667	4.163332	0.000000	0.000000	32.069227	1.152639	64.213371	1.047230	-41.688205	0.330630	-9.544061	2.033570	0.012667	0.011015	15.000000	2.645751	-0.000333	0.000577	1.333333	0.577350
