condition	seed	paired_reads	mapped_to_mapped	mapped_to_unmapped	unmapped_to_mapped	unmapped_to_unmapped	chromosome_changed	strand_changed	cigar_changed	coordinate_shift_ge100	coordinate_shift_ge1000	mean_coordinate_shift_bp	median_coordinate_shift_bp	mean_mapq_change	mapq_drop_ge5	mapq_drop_ge10	mean_nm_change	nm_increased_reads	mean_soft_clip_change	soft_clip_increased_reads	mean_hard_clip_change	mean_insertion_change	mean_deletion_change	mean_aligned_query_length_change	mean_reference_span_change	mean_secondary_count_change	secondary_increased_reads	mean_supplementary_count_change	supplementary_increased_reads
GN01	1	1000	970	0	0	30	4	6	881	9	6	662.154244	0.000000	-0.036082	2	2	0.186598	450	-2.498969	260	0.000000	0.632990	-0.821649	0.080412	-1.374227	0.005000	3	0.003000	2
GN01	2	1000	970	0	0	30	3	3	899	11	9	1731.191313	0.000000	0.018557	3	1	1.155670	465	-6.349485	250	0.000000	-0.019588	0.869072	-0.477320	0.411340	-0.003000	1	0.000000	0
GN01	3	1000	970	0	0	30	4	4	868	7	5	149.549689	0.000000	0.020619	3	2	3.065979	455	-2.836082	251	0.000000	-0.501031	2.895876	-0.261856	3.135052	-0.003000	2	0.001000	1
GN05	1	1000	970	0	0	30	4	3	957	21	17	2757.549689	0.000000	-0.114433	12	6	31.380412	847	-10.077320	391	0.000000	7.417526	11.440206	-8.107216	-4.084536	0.003000	8	-0.001000	0
GN05	2	1000	968	2	0	30	5	6	957	19	16	2557.680166	0.000000	-0.069215	12	8	35.903926	856	-9.760331	374	0.000000	7.354339	16.445248	-8.079545	1.011364	-0.004000	6	-0.002000	0
GN05	3	1000	970	0	0	30	4	6	957	23	20	4626.860248	0.000000	-0.147423	14	8	34.225773	843	-9.419588	375	0.000000	6.307216	14.934021	-8.728866	-0.102062	-0.002000	7	-0.001000	0
GN10	1	1000	967	3	0	30	5	8	966	40	30	11583.742204	1.000000	-0.539814	39	29	168.718718	938	0.932782	596	0.000000	33.215098	64.594623	-41.925543	-10.546019	0.000000	12	0.000000	1
GN10	2	1000	968	2	1	29	5	10	968	37	27	15405.827622	1.000000	-0.566116	35	22	166.088843	941	1.257231	602	0.000000	32.082645	63.028926	-41.828512	-10.882231	0.020000	16	0.000000	2
GN10	3	1000	966	4	1	29	6	8	965	36	27	12360.398958	1.000000	-0.653209	38	31	168.178054	941	2.317805	604	0.000000	30.909938	65.016563	-41.310559	-7.203934	0.018000	17	-0.001000	1
