condition	seeds	mean_total_records	sd_total_records	mean_mapped_primary	sd_mapped_primary	mean_unmapped_primary	sd_unmapped_primary	mean_mapped_percent	sd_mapped_percent	mean_secondary	sd_secondary	mean_supplementary	sd_supplementary	mean_mean_mapped_mapq	sd_mean_mapped_mapq	mean_mapq_ge20	sd_mapq_ge20	mean_mapq_ge30	sd_mapq_ge30	mean_mapq_ge60	sd_mapq_ge60
GN01	3	1398.000000	6.082763	970.000000	0.000000	30.000000	0.000000	97.000000	0.000000	365.666667	4.618802	32.333333	1.527525	55.337113	0.032158	902.333333	0.577350	892.000000	1.000000	866.666667	0.577350
GN05	3	1394.666667	4.041452	969.333333	1.154701	30.666667	1.154701	96.933333	0.115470	365.000000	3.605551	29.666667	0.577350	55.235943	0.055820	898.666667	2.081666	891.000000	0.000000	864.333333	1.154701
GN10	3	1409.333333	10.785793	967.666667	1.154701	32.333333	1.154701	96.766667	0.115470	378.666667	11.015141	30.666667	0.577350	54.725098	0.068913	892.333333	2.886751	881.666667	1.154701	853.333333	2.516611
