condition	seed	sigma_fraction	paired_reads	exact_sequence_matches	changed_sequences	changed_sequence_fraction	mean_sequence_identity_percent	mean_edit_distance	median_edit_distance	p95_edit_distance	mean_normalized_edit_distance	mean_qscore_change	mean_length_change	changed_sample_fraction	clipped_signal_samples	operational_bam_records	split_parent_groups	quickcheck
GN01	1	0.01	1000	57	943	0.943	98.594994	40.064	13.0	138.1	0.0140500598	-0.109944	-2.414	0.7095533756	0	1009	9	PASS
GN05	1	0.05	1000	7	993	0.993	96.169877	112.845	44.0	428.05	0.0383012338	-2.500241	-19.43	0.940566165	0	1008	8	PASS
GN10	1	0.1	1000	1	999	0.999	92.743084	274.774	116.0	1083.5	0.0725691609	-10.71417	-37.999	0.9702373038	0	1007	7	PASS
GN01	2	0.01	1000	58	942	0.942	98.403965	41.277	12.0	136.45	0.0159603452	-0.106692	-6.53	0.7095819537	0	1012	12	PASS
GN05	2	0.05	1000	9	991	0.991	96.218358	112.809	42.0	422.35	0.037816421	-2.525635	-19.061	0.940597361	0	1009	9	PASS
GN10	2	0.1	1000	0	1000	1.0	92.828144	272.995	117.5	1110.1	0.071718557	-10.738176	-37.553	0.9702800451	0	1004	4	PASS
GN01	3	0.01	1000	77	923	0.923	98.514927	39.625	12.0	137.1	0.0148507265	-0.1242	-3.027	0.7095540804	0	1012	12	PASS
GN05	3	0.05	1000	7	993	0.993	96.230425	112.719	43.0	424.7	0.0376957481	-2.573565	-19.264	0.9405738172	0	1012	12	PASS
GN10	3	0.1	1000	1	999	0.999	92.671354	276.151	118.5	1140.1	0.0732864604	-10.732645	-36.253	0.9702474564	0	1007	7	PASS
