condition	paired_reads	changed_reads	changed_fraction	exact_matches	mean_identity_percent	identity_sd	identity_ci95_lower	identity_ci95_upper	mean_edit_distance	edit_distance_sd	edit_distance_ci95_lower	edit_distance_ci95_upper	median_edit_distance	p95_edit_distance	mean_normalized_edit_distance	mean_qscore_change	qscore_change_sd	qscore_change_ci95_lower	qscore_change_ci95_upper	mean_length_change	reads_edit_distance_ge_100	reads_edit_distance_ge_500	reads_edit_distance_ge_1000	reads_identity_below_95_percent	reads_qscore_drop_ge_5	reads_qscore_drop_ge_10
GN01	1000	936	0.936	64	98.523428784	5.5376117614749925	98.15986855780001	98.8337741574	39.343	113.43197152109789	32.802	46.7701	13.0	133.14999999999986	0.014765711965199999	-0.11788275899999999	0.4819058645481364	-0.14768860390000002	-0.08743270695000001	-3.419	72	10	4	41	0	0
GN05	1000	989	0.989	11	96.09192792099999	9.210156244927756	95.5018407955	96.64492070355	113.241	236.17207321604977	99.44295	128.72135	43.0	424.2999999999997	0.0390807207251	-2.54658518	1.6893509890868736	-2.652466023525	-2.443728345825	-18.048	268	39	12	151	61	1
GN10	1000	999	0.999	1	92.771583193	8.059851490781524	92.24879162565	93.25017542255	274.567	464.9624496565186	247.35502499999998	303.829275	119.0	1116.2499999999998	0.0722841680496	-10.673996661	3.9888280732563746	-10.920220531225	-10.425192944150002	-34.247	557	142	57	488	927	621
