condition	sigma_fraction	paired_reads	exact_sequence_matches	changed_sequences	changed_sequence_fraction	mean_sequence_identity_percent	median_sequence_identity_percent	mean_edit_distance	median_edit_distance	p95_edit_distance	mean_normalized_edit_distance	total_substitutions	total_insertions	total_deletions	mean_clean_length	mean_perturbed_length	mean_length_change	reads_with_length_change	mean_clean_qscore	mean_perturbed_qscore	mean_qscore_change	median_qscore_change	reads_with_qscore_decrease	reads_with_qscore_increase
GN01	0.01	1000	64	936	0.9360000000	98.523429	99.497500	39.343000	13.000000	133.150000	0.0147657120	13226	11349	14768	4939.174000	4935.755000	-3.419000	827	34.204719	34.086836	-0.117883	-0.115714	719	281
GN05	0.05	1000	11	989	0.9890000000	96.091928	98.216426	113.241000	43.000000	424.300000	0.0390807207	34963	30115	48163	4939.174000	4921.126000	-18.048000	933	34.204719	31.658133	-2.546585	-2.508566	960	40
GN10	0.10	1000	1	999	0.9990000000	92.771583	95.110907	274.567000	119.000000	1116.250000	0.0722841680	92612	73854	108101	4939.174000	4904.927000	-34.247000	981	34.204719	23.530722	-10.673997	-10.681849	981	19
