read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
0bd173d4-877d-48b2-bf5b-d7d77a86e6c0	8177	8181	4	34.965513	35.051705	0.086192	0	51	0.0062339567	99.376604	99.377897	8147	13	21	17
0c0a8018-bec9-4fc7-ae55-206e57f64a71	4813	4814	1	38.967796	38.987744	0.019949	0	23	0.0047777316	99.522227	99.522921	4798	8	8	7
0c4cddec-181d-4f12-b068-1fc04dcce924	325	325	0	24.393846	24.206154	-0.187692	0	2	0.0061538462	99.384615	99.384615	323	2	0	0
0cdb77a5-322f-4e55-b9a8-7f003a03849e	37400	37404	4	42.241658	42.168244	-0.073414	0	39	0.0010426692	99.895733	99.895767	37377	11	16	12
0d096081-f762-4687-a9b4-c1f04c2b3204	4967	4967	0	41.481578	41.509764	0.028186	0	2	0.0004026575	99.959734	99.959742	4966	0	1	1
0d5a994f-682e-4c9c-935c-e99b52086b67	237	238	1	25.945148	24.949580	-0.995568	0	5	0.0210084034	97.899160	97.899160	233	4	1	0
0d67ce7d-9389-49d0-9ea2-f712667c1997	615	615	0	28.237398	28.330081	0.092683	0	5	0.0081300813	99.186992	99.188312	611	3	1	1
0d8fd785-cf64-48e3-b4ff-1bcc56815bd4	700	698	-2	26.700000	26.497135	-0.202865	0	7	0.0100000000	99.000000	99.002849	695	1	2	4
0de2b6f0-5210-4526-b636-0d607d6eb1a6	1171	1171	0	40.841161	40.807857	-0.033305	0	2	0.0017079419	99.829206	99.829206	1169	2	0	0
0e13ed29-4c55-4a48-acd0-9745414fd8be	3372	3368	-4	38.599644	38.964667	0.365023	0	14	0.0041518387	99.584816	99.585062	3360	6	2	6
0e253ec6-6393-411f-ad90-5f0459316e65	1678	1676	-2	39.015495	38.412888	-0.602607	0	5	0.0029797378	99.702026	99.702204	1674	1	1	3
0f192d1b-b2ef-4e2c-a1e3-533100490fd5	2061	2061	0	35.526929	34.747695	-0.779233	0	5	0.0024260068	99.757399	99.757635	2058	1	2	2
0f2bf7e1-cc46-4d92-b457-dab7f00a3f22	1873	1904	31	29.890016	29.250000	-0.640016	0	69	0.0362394958	96.376050	96.393100	1844	20	40	9
0fc815ae-af2d-41cf-9d82-4d358a48d97e	395	373	-22	2.220253	1.855228	-0.365025	0	72	0.1822784810	81.772152	81.772152	323	50	0	22
0fca3c0c-b5b4-4e24-a63e-4519631f0d27	1053	1053	0	25.835708	25.666667	-0.169041	0	9	0.0085470085	99.145299	99.148534	1048	1	4	4
0fcd41e5-d092-4890-8169-8d316d9359b2	2795	2802	7	25.628623	25.434333	-0.194290	0	39	0.0139186296	98.608137	98.614072	2775	8	19	12
10153fc2-a9d4-4fa5-a8d2-d5787277bf41	428	429	1	27.822430	26.983683	-0.838747	0	4	0.0093240093	99.067599	99.069767	426	1	2	1
103be9c0-ad65-4a4f-b625-ee0a03ffcfd5	4484	4482	-2	38.703390	38.520973	-0.182417	0	21	0.0046833185	99.531668	99.532294	4469	7	6	8
1092b6aa-7c91-4a6a-bcc0-132dc34e4ecf	1048	1043	-5	39.288168	39.094919	-0.193249	0	5	0.0047709924	99.522901	99.522901	1043	0	0	5
10d34dd9-8a28-4b53-9179-04d1407bb03f	5644	5645	1	38.778880	38.574845	-0.204035	0	13	0.0023029229	99.769708	99.769912	5637	2	6	5
113363dc-2af9-4525-835a-dd00f04e617a	9121	9110	-11	25.549063	25.454995	-0.094068	0	117	0.0128275408	98.717246	98.722289	9040	34	36	47
11dcdf68-e560-4d6d-b7b6-565694825240	4277	4277	0	39.176526	39.145897	-0.030629	0	4	0.0009352350	99.906477	99.906498	4274	2	1	1
12491f94-65b9-4d6d-9bdd-7f0ad4cf53c3	5018	5022	4	34.372260	34.150737	-0.221523	0	23	0.0045798487	99.542015	99.542380	5003	11	8	4
13187232-ec41-47f0-8e78-14a466d6995f	1343	1341	-2	40.921817	41.116331	0.194514	0	4	0.0029784066	99.702159	99.702381	1340	0	1	3
1319e7ee-3916-467c-88c2-8153b1ab83ec	2793	2788	-5	40.045113	40.026901	-0.018212	0	27	0.0096670247	99.033298	99.036403	2775	4	9	14
1329b616-0d49-41b3-8d12-426ec659d086	662	659	-3	30.938066	30.661608	-0.276458	0	9	0.0135951662	98.640483	98.642534	654	4	1	4
13718d6b-c9c2-41bd-a6b9-553808185306	4754	4758	4	40.055532	39.894493	-0.161039	0	11	0.0023118958	99.768810	99.768908	4749	3	6	2
138e07b4-834b-4e88-b880-aa7dc9967fed	5454	5448	-6	40.222406	40.062775	-0.159630	0	9	0.0016501650	99.834983	99.835014	5446	1	1	7
13c506fe-aa79-4880-8546-d2721c01db88	3900	3908	8	34.345641	34.244371	-0.101271	0	32	0.0081883316	99.181167	99.182840	3884	8	16	8
14157bc4-d9c1-45ee-813a-79a932b0cdca	2246	2253	7	37.914515	37.770972	-0.143543	0	13	0.0057700843	99.422992	99.423248	2241	4	8	1
14360209-da36-4834-97ae-ce87a7a52abd	5249	5248	-1	37.123262	37.100991	-0.022271	0	21	0.0040007620	99.599924	99.600457	5235	6	7	8
1440482b-e03f-45cb-aee6-68b7617a6f18	627	627	0	39.668262	39.748006	0.079745	1	0	0.0000000000	100.000000	100.000000	627	0	0	0
1521a4a4-872b-43e5-a10c-7a5b155000ff	446	446	0	27.874439	26.876682	-0.997758	1	0	0.0000000000	100.000000	100.000000	446	0	0	0
153d9c49-28d1-4559-a00a-3a1c3cd0f427	5655	5655	0	26.985500	26.809549	-0.175950	0	55	0.0097259063	99.027409	99.029469	5612	31	12	12
15897d51-7859-4d5e-8c48-f866f11a034d	14447	14441	-6	38.548488	38.390832	-0.157656	0	65	0.0044992040	99.550080	99.550764	14404	15	22	28
15c1142c-446f-44d1-8cf2-82e130407a61	331	331	0	28.709970	28.368580	-0.341390	0	3	0.0090634441	99.093656	99.096386	329	1	1	1
15e63e9d-f7b9-485d-b101-20561489a4a0	424	423	-1	26.476415	26.151300	-0.325115	0	2	0.0047169811	99.528302	99.528302	422	1	0	1
164acd09-5f6a-4046-abe8-82d968e3a830	7782	7736	-46	34.252891	33.973242	-0.279649	0	80	0.0102801336	98.971987	98.972515	7706	26	4	50
167ddd77-13b7-4b95-90dc-f4715a0eb66a	386	391	5	28.966321	28.616368	-0.349953	0	5	0.0127877238	98.721228	98.721228	386	0	5	0
16a345c3-162b-4816-b5bb-59ddb92d83a6	2271	2276	5	26.824306	26.482865	-0.341442	0	39	0.0171353251	98.286467	98.294709	2248	12	16	11
16cdd63c-9d6d-44db-a40a-d9ad400016fb	292	292	0	40.143836	39.773973	-0.369863	1	0	0.0000000000	100.000000	100.000000	292	0	0	0
16ec8438-61d1-40e6-b7bd-db85bb3c4202	376	373	-3	26.422872	26.337802	-0.085071	0	11	0.0292553191	97.074468	97.089947	367	4	2	5
171d6c5c-4bfa-40e6-88cf-c49fb60dbd39	5538	5550	12	33.880462	33.754054	-0.126408	0	43	0.0077477477	99.225225	99.226758	5518	9	23	11
176feeba-ea05-4772-8c6e-4b97f97b136a	2549	2547	-2	38.842683	38.778170	-0.064513	0	6	0.0023538643	99.764614	99.764614	2543	4	0	2
177739d2-fb28-453b-a88c-19c65550871c	717	717	0	40.390516	40.471409	0.080893	1	0	0.0000000000	100.000000	100.000000	717	0	0	0
17870eb6-4bf3-425f-b096-b09acc56c1ad	8091	8099	8	32.407613	31.863193	-0.544420	0	81	0.0100012347	98.999877	99.002831	8042	25	32	24
178b3298-8db7-4ba5-8ff8-161778df825f	39869	39897	28	38.524016	38.333584	-0.190432	0	118	0.0029576159	99.704238	99.704475	39811	26	60	32
17cd9df2-dbc7-418b-9ea3-0c3649fb328a	6217	6197	-20	35.210069	35.131354	-0.078715	0	25	0.0040212321	99.597877	99.597877	6192	5	0	20
18279ad5-0409-4de9-94c7-bd8c03a755ef	5199	5202	3	39.433160	39.268935	-0.164225	0	18	0.0034602076	99.653979	99.654312	5189	5	8	5
18e4a73b-e09a-493b-ba25-15c797e5864b	404	404	0	34.400990	33.952970	-0.448020	0	6	0.0148514851	98.514851	98.514851	398	6	0	0
19172f2f-4b11-4687-a473-039ace903a13	282	295	13	1.900709	1.962712	0.062003	0	13	0.0440677966	95.593220	95.593220	282	0	13	0
192c321d-dc65-4c34-8ab8-ea72915a58fc	339	341	2	29.840708	29.909091	0.068383	0	5	0.0146627566	98.533724	98.538012	337	1	3	1
195704c7-9aaa-4401-b562-062e6c837d09	372	404	32	25.034946	23.163366	-1.871580	0	32	0.0792079208	92.079208	92.079208	372	0	32	0
1967a5e2-b303-4103-b81c-c2cdc1475a75	5441	5442	1	39.722110	39.534914	-0.187196	0	10	0.0018375597	99.816244	99.816379	5436	1	5	4
19dfcdae-1802-4735-9d80-5dd6f3bf0055	739	742	3	27.604871	26.766846	-0.838025	0	17	0.0229110512	97.708895	97.721180	729	6	7	4
1a1e18c4-2425-4e42-9b3c-5402e70a7654	252	253	1	26.214286	25.928854	-0.285432	0	5	0.0197628458	98.023715	98.039216	250	0	3	2
1a56c3fb-728e-48a9-8777-af2e5dab2b3f	365	389	24	2.221918	2.161954	-0.059964	0	100	0.2570694087	74.293059	74.293059	289	76	24	0
1ad23c81-d039-4272-b648-77790b85f9a3	1734	1730	-4	36.830450	36.956069	0.125620	0	14	0.0080738178	99.192618	99.194013	1723	4	3	7
