filename	size_bytes	remote_path
PAO89685_pass__2264ba8c_afee3a87_472.pod5	1044681832	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_472.pod5
PAO89685_pass__2264ba8c_afee3a87_473.pod5	978730344	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_473.pod5
PAO89685_pass__2264ba8c_afee3a87_521.pod5	852904608	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_521.pod5
PAO89685_pass__2264ba8c_afee3a87_6.pod5	859494840	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_6.pod5
PAO89685_pass__2264ba8c_afee3a87_614.pod5	723228216	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_614.pod5
PAO89685_pass__2264ba8c_afee3a87_66.pod5	1369833032	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_66.pod5
PAO89685_pass__2264ba8c_afee3a87_663.pod5	933466456	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_663.pod5
PAO89685_pass__2264ba8c_afee3a87_692.pod5	703246144	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_692.pod5
PAO89685_pass__2264ba8c_afee3a87_708.pod5	633880336	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_708.pod5
PAO89685_pass__2264ba8c_afee3a87_730.pod5	801837912	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_730.pod5
PAO89685_pass__2264ba8c_afee3a87_787.pod5	592916296	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_787.pod5
PAO89685_pass__2264ba8c_afee3a87_80.pod5	1341525216	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_80.pod5
PAO89685_pass__2264ba8c_afee3a87_84.pod5	1405263784	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_84.pod5
PAO89685_pass__2264ba8c_afee3a87_85.pod5	1229893448	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_85.pod5
PAO89685_pass__2264ba8c_afee3a87_866.pod5	541559992	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_866.pod5
PAO89685_pass__2264ba8c_afee3a87_87.pod5	1319540968	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_87.pod5
PAO89685_pass__2264ba8c_afee3a87_887.pod5	444407768	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_887.pod5
PAO89685_pass__2264ba8c_afee3a87_888.pod5	523760144	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_888.pod5
PAO89685_pass__2264ba8c_afee3a87_89.pod5	1224021984	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_89.pod5
PAO89685_pass__2264ba8c_afee3a87_910.pod5	383880096	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_910.pod5
PAO89685_pass__2264ba8c_afee3a87_958.pod5	892931200	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_958.pod5
