target_read_id	allele	matched_column	parent_read_id	read_id	filename_pod5	filename_fastq	passes_filtering	channel	mux	start_time	duration	sequence_length_template	mean_qscore_template	end_reason
00533577-803b-48cd-814e-adfa3e058d91	ALT	parent_read_id	00533577-803b-48cd-814e-adfa3e058d91	00533577-803b-48cd-814e-adfa3e058d91	PAO89685_pass__2264ba8c_afee3a87_1204.pod5	PAO89685_pass_2264ba8c_afee3a87_1280.fastq.gz	TRUE	1771	2	220686.215200	73.039400	30729	12.959013	signal_positive
00533577-803b-48cd-814e-adfa3e058d91	ALT	read_id	00533577-803b-48cd-814e-adfa3e058d91	00533577-803b-48cd-814e-adfa3e058d91	PAO89685_pass__2264ba8c_afee3a87_1204.pod5	PAO89685_pass_2264ba8c_afee3a87_1280.fastq.gz	TRUE	1771	2	220686.215200	73.039400	30729	12.959013	signal_positive
199fcf4a-a100-4779-b89e-c80f4793cdfc	ALT	parent_read_id	199fcf4a-a100-4779-b89e-c80f4793cdfc	23385f1c-10ce-545e-8cc9-0578fa2c78ec	PAO89685_pass__2264ba8c_afee3a87_214.pod5	PAO89685_pass_2264ba8c_afee3a87_235.fastq.gz	TRUE	2634	3	33234.146600	65.529600	25296	15.034676	unblock_mux_change
199fcf4a-a100-4779-b89e-c80f4793cdfc	ALT	parent_read_id	199fcf4a-a100-4779-b89e-c80f4793cdfc	b0ecdadb-1ec7-5e36-9644-29cadc1da5ba	PAO89685_pass__2264ba8c_afee3a87_214.pod5	PAO89685_fail_2264ba8c_afee3a87_62.fastq.gz	FALSE	2634	3	33299.676200	27.539000	6536	7.759148	unblock_mux_change
1de25dab-c1cd-4c85-9b97-0104f8f411a5	ALT	read_id	1de25dab-c1cd-4c85-9b97-0104f8f411a5	1de25dab-c1cd-4c85-9b97-0104f8f411a5	PAO89685_pass__2264ba8c_afee3a87_90.pod5	PAO89685_pass_2264ba8c_afee3a87_98.fastq.gz	TRUE	952	4	12624.810600	61.197600	27211	13.181898	signal_positive
1de25dab-c1cd-4c85-9b97-0104f8f411a5	ALT	parent_read_id	1de25dab-c1cd-4c85-9b97-0104f8f411a5	1de25dab-c1cd-4c85-9b97-0104f8f411a5	PAO89685_pass__2264ba8c_afee3a87_90.pod5	PAO89685_pass_2264ba8c_afee3a87_98.fastq.gz	TRUE	952	4	12624.810600	61.197600	27211	13.181898	signal_positive
26efcc36-d025-471e-933a-e57a2447c465	ALT	parent_read_id	26efcc36-d025-471e-933a-e57a2447c465	7ebd6eaf-8cc5-52a6-8735-4d1d27a60a4a	PAO89685_pass__2264ba8c_afee3a87_1388.pod5	PAO89685_pass_2264ba8c_afee3a87_1471.fastq.gz	TRUE	1938	4	233737.152400	3.758000	1509	13.856754	signal_positive
26efcc36-d025-471e-933a-e57a2447c465	ALT	parent_read_id	26efcc36-d025-471e-933a-e57a2447c465	9bc0b222-b1c6-58a1-ae23-631e7fecfbde	PAO89685_pass__2264ba8c_afee3a87_1388.pod5	PAO89685_pass_2264ba8c_afee3a87_1471.fastq.gz	TRUE	1938	4	233649.152800	87.999600	21949	14.391146	signal_positive
72209365-d223-4c87-9ba5-63376a9170fd	ALT	read_id	72209365-d223-4c87-9ba5-63376a9170fd	72209365-d223-4c87-9ba5-63376a9170fd	PAO89685_pass__2264ba8c_afee3a87_258.pod5	PAO89685_pass_2264ba8c_afee3a87_283.fastq.gz	TRUE	213	4	40918.879800	91.910400	20531	13.351685	signal_positive
72209365-d223-4c87-9ba5-63376a9170fd	ALT	parent_read_id	72209365-d223-4c87-9ba5-63376a9170fd	72209365-d223-4c87-9ba5-63376a9170fd	PAO89685_pass__2264ba8c_afee3a87_258.pod5	PAO89685_pass_2264ba8c_afee3a87_283.fastq.gz	TRUE	213	4	40918.879800	91.910400	20531	13.351685	signal_positive
7c1164dc-2545-441b-ab5d-11227989dfe6	ALT	read_id	7c1164dc-2545-441b-ab5d-11227989dfe6	7c1164dc-2545-441b-ab5d-11227989dfe6	PAO89685_pass__2264ba8c_afee3a87_38.pod5	PAO89685_pass_2264ba8c_afee3a87_41.fastq.gz	TRUE	2719	3	3863.693000	86.328200	35568	12.030975	signal_positive
7c1164dc-2545-441b-ab5d-11227989dfe6	ALT	parent_read_id	7c1164dc-2545-441b-ab5d-11227989dfe6	7c1164dc-2545-441b-ab5d-11227989dfe6	PAO89685_pass__2264ba8c_afee3a87_38.pod5	PAO89685_pass_2264ba8c_afee3a87_41.fastq.gz	TRUE	2719	3	3863.693000	86.328200	35568	12.030975	signal_positive
9a90548e-31da-4b38-aba0-8b9f7a75e936	ALT	parent_read_id	9a90548e-31da-4b38-aba0-8b9f7a75e936	9a90548e-31da-4b38-aba0-8b9f7a75e936	PAO89685_pass__2264ba8c_afee3a87_261.pod5	PAO89685_pass_2264ba8c_afee3a87_286.fastq.gz	TRUE	213	4	41010.887800	52.752200	20632	13.773479	signal_positive
9a90548e-31da-4b38-aba0-8b9f7a75e936	ALT	read_id	9a90548e-31da-4b38-aba0-8b9f7a75e936	9a90548e-31da-4b38-aba0-8b9f7a75e936	PAO89685_pass__2264ba8c_afee3a87_261.pod5	PAO89685_pass_2264ba8c_afee3a87_286.fastq.gz	TRUE	213	4	41010.887800	52.752200	20632	13.773479	signal_positive
9d796ae7-6945-4d1e-abb4-7bdce517a96d	ALT	read_id	9d796ae7-6945-4d1e-abb4-7bdce517a96d	9d796ae7-6945-4d1e-abb4-7bdce517a96d	PAO89685_pass__2264ba8c_afee3a87_238.pod5	PAO89685_pass_2264ba8c_afee3a87_261.fastq.gz	TRUE	2986	4	37385.816400	63.564200	22229	15.265453	signal_positive
9d796ae7-6945-4d1e-abb4-7bdce517a96d	ALT	parent_read_id	9d796ae7-6945-4d1e-abb4-7bdce517a96d	9d796ae7-6945-4d1e-abb4-7bdce517a96d	PAO89685_pass__2264ba8c_afee3a87_238.pod5	PAO89685_pass_2264ba8c_afee3a87_261.fastq.gz	TRUE	2986	4	37385.816400	63.564200	22229	15.265453	signal_positive
a634b28d-7579-4d22-b746-c799d1222281	ALT	read_id	a634b28d-7579-4d22-b746-c799d1222281	a634b28d-7579-4d22-b746-c799d1222281	PAO89685_pass__2264ba8c_afee3a87_990.pod5	PAO89685_pass_2264ba8c_afee3a87_1057.fastq.gz	TRUE	885	4	188265.170600	61.636200	24583	12.599798	signal_positive
a634b28d-7579-4d22-b746-c799d1222281	ALT	parent_read_id	a634b28d-7579-4d22-b746-c799d1222281	a634b28d-7579-4d22-b746-c799d1222281	PAO89685_pass__2264ba8c_afee3a87_990.pod5	PAO89685_pass_2264ba8c_afee3a87_1057.fastq.gz	TRUE	885	4	188265.170600	61.636200	24583	12.599798	signal_positive
cb0e7285-3c4a-461b-8540-7f0a3fda312c	ALT	parent_read_id	cb0e7285-3c4a-461b-8540-7f0a3fda312c	cb0e7285-3c4a-461b-8540-7f0a3fda312c	PAO89685_pass__2264ba8c_afee3a87_1155.pod5	PAO89685_pass_2264ba8c_afee3a87_1230.fastq.gz	TRUE	842	1	215688.827600	104.892400	28151	13.239790	signal_positive
cb0e7285-3c4a-461b-8540-7f0a3fda312c	ALT	read_id	cb0e7285-3c4a-461b-8540-7f0a3fda312c	cb0e7285-3c4a-461b-8540-7f0a3fda312c	PAO89685_pass__2264ba8c_afee3a87_1155.pod5	PAO89685_pass_2264ba8c_afee3a87_1230.fastq.gz	TRUE	842	1	215688.827600	104.892400	28151	13.239790	signal_positive
e7f01a96-5fbc-463c-9f12-f4e323ea44f3	ALT	parent_read_id	e7f01a96-5fbc-463c-9f12-f4e323ea44f3	e7f01a96-5fbc-463c-9f12-f4e323ea44f3	PAO89685_pass__2264ba8c_afee3a87_589.pod5	PAO89685_pass_2264ba8c_afee3a87_638.fastq.gz	TRUE	2596	1	97370.298200	66.119200	27199	14.729496	signal_positive
e7f01a96-5fbc-463c-9f12-f4e323ea44f3	ALT	read_id	e7f01a96-5fbc-463c-9f12-f4e323ea44f3	e7f01a96-5fbc-463c-9f12-f4e323ea44f3	PAO89685_pass__2264ba8c_afee3a87_589.pod5	PAO89685_pass_2264ba8c_afee3a87_638.fastq.gz	TRUE	2596	1	97370.298200	66.119200	27199	14.729496	signal_positive
056e1e32-798a-4c3c-b689-7fc85b61e685	REF	parent_read_id	056e1e32-798a-4c3c-b689-7fc85b61e685	4dae7bcf-da1e-5ab9-9767-6837c5bfc7a6	PAO89685_pass__2264ba8c_afee3a87_1015.pod5	PAO89685_pass_2264ba8c_afee3a87_1083.fastq.gz	TRUE	1490	4	197113.881000	29.271800	16606	11.919037	signal_positive
056e1e32-798a-4c3c-b689-7fc85b61e685	REF	parent_read_id	056e1e32-798a-4c3c-b689-7fc85b61e685	a4a042a9-dc38-5436-b71c-0a36eb2d711f	PAO89685_pass__2264ba8c_afee3a87_1015.pod5	PAO89685_pass_2264ba8c_afee3a87_1083.fastq.gz	TRUE	1490	4	197083.187400	30.693600	16782	11.935226	signal_positive
