read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1538	1568	30	29.951235	29.279337	-0.671899	0	50	0.0318877551	96.811224	96.827411	1526	4	38	8
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	3145	3154	9	40.947854	40.903614	-0.044239	0	17	0.0053899810	99.461002	99.461514	3140	2	12	3
0812e3c5-97ef-4297-8a99-8789e523ff34	3730	3749	19	35.288204	34.913577	-0.374627	0	141	0.0376100293	96.238997	96.250000	3619	100	30	11
0ab78041-5951-4e3e-8ecf-46a380edf1f8	2323	2327	4	39.491175	39.358831	-0.132344	0	9	0.0038676407	99.613236	99.613568	2320	1	6	2
0c4cddec-181d-4f12-b068-1fc04dcce924	325	324	-1	24.393846	24.259259	-0.134587	0	4	0.0123076923	98.769231	98.769231	321	3	0	1
0e13ed29-4c55-4a48-acd0-9745414fd8be	3372	3373	1	38.599644	38.886748	0.287104	0	14	0.0041506078	99.584939	99.585431	3363	5	5	4
0f192d1b-b2ef-4e2c-a1e3-533100490fd5	2061	2065	4	35.526929	34.517676	-1.009253	0	6	0.0029055690	99.709443	99.709443	2059	2	4	0
1329b616-0d49-41b3-8d12-426ec659d086	662	662	0	30.938066	30.515106	-0.422961	1	0	0.0000000000	100.000000	100.000000	662	0	0	0
176feeba-ea05-4772-8c6e-4b97f97b136a	2549	2543	-6	38.842683	38.853323	0.010639	0	12	0.0047077285	99.529227	99.529412	2538	4	1	7
177739d2-fb28-453b-a88c-19c65550871c	717	717	0	40.390516	40.451883	0.061367	1	0	0.0000000000	100.000000	100.000000	717	0	0	0
18e4a73b-e09a-493b-ba25-15c797e5864b	404	404	0	34.400990	34.061881	-0.339109	0	1	0.0024752475	99.752475	99.752475	403	1	0	0
19dfcdae-1802-4735-9d80-5dd6f3bf0055	739	744	5	27.604871	27.802419	0.197548	0	7	0.0094086022	99.059140	99.059140	737	2	5	0
1bdef138-b878-4168-aeea-2a2551ecd48e	544	544	0	35.257353	35.227941	-0.029412	1	0	0.0000000000	100.000000	100.000000	544	0	0	0
1e013367-847f-4bd5-a6da-8750dd79935a	294	255	-39	2.493197	1.337255	-1.155942	0	152	0.5170068027	48.299320	48.299320	142	113	0	39
1f7014c9-7c36-4a5d-90ef-4759f46b947f	1646	1651	5	39.162211	39.102968	-0.059244	0	9	0.0054512417	99.454876	99.454876	1642	4	5	0
20a4eac0-51c1-409b-b2e7-4dafdcff9f92	4007	4007	0	41.190916	40.777889	-0.413027	0	1	0.0002495633	99.975044	99.975044	4006	1	0	0
21754b1a-558c-4150-b9d5-3f0683319771	726	725	-1	41.059229	40.984828	-0.074401	0	1	0.0013774105	99.862259	99.862259	725	0	0	1
23b7700e-9586-485f-87bd-a89e6c2790c7	4087	4088	1	37.272327	37.288894	0.016567	0	3	0.0007338552	99.926614	99.926632	4086	0	2	1
247261cf-d768-4c4b-aab1-7432593cf99e	1657	1658	1	35.820760	35.735826	-0.084934	0	12	0.0072376357	99.276236	99.278413	1651	1	6	5
2472d10d-f5a6-4945-bf3f-8f30573d2d23	1275	1276	1	35.193725	35.285266	0.091541	0	13	0.0101880878	98.981191	98.983581	1266	6	4	3
24ad99de-3703-4e9f-8b9a-938ea3982619	2666	2664	-2	39.468117	39.352477	-0.115640	0	22	0.0082520630	99.174794	99.176647	2650	8	6	8
250ca00f-6175-49c6-aa39-3cc7d77d38f8	2066	2067	1	39.966602	39.664248	-0.302354	0	1	0.0004837929	99.951621	99.951621	2066	0	1	0
26ba733d-e186-4bef-9432-a056a157b564	5652	5655	3	38.576964	39.114058	0.537094	0	15	0.0026525199	99.734748	99.734842	5642	8	5	2
271d1f97-00fc-40c5-8241-7bfb6ccd7303	1579	1579	0	41.305256	41.510450	0.205193	1	0	0.0000000000	100.000000	100.000000	1579	0	0	0
292ef219-01db-4f93-b999-6d6a560aa355	399	400	1	25.974937	25.352500	-0.622437	0	7	0.0175000000	98.250000	98.258706	395	2	3	2
33087256-f1d2-418b-b69d-feb8f1fe0743	4347	4354	7	30.070623	29.972898	-0.097725	0	19	0.0043638034	99.563620	99.563720	4336	10	8	1
345117ee-e4e5-403c-88cc-629c03ca7065	831	825	-6	37.701564	37.529697	-0.171867	0	9	0.0108303249	98.916968	98.916968	822	3	0	6
34f98559-c31d-4072-8747-16ad7da9fcfd	458	455	-3	34.163755	34.375824	0.212069	0	4	0.0087336245	99.126638	99.126638	454	1	0	3
3a0a0061-6b4f-45ae-805a-0013d0c42a4e	644	645	1	38.574534	37.562791	-1.011743	0	1	0.0015503876	99.844961	99.844961	644	0	1	0
3af85a7e-656e-4db8-b7ef-8dca774297a4	2906	2915	9	37.629387	37.864494	0.235107	0	14	0.0048027444	99.519726	99.519726	2901	5	9	0
3bac013a-0273-49c2-9709-941a37a22266	2889	2871	-18	29.464174	29.444793	-0.019382	0	153	0.0529595016	94.704050	94.802989	2791	25	55	73
3bda400f-5cb4-433c-8f8f-a7fa308ecabb	3581	3579	-2	38.991902	38.824532	-0.167370	0	12	0.0033510193	99.664898	99.665272	3573	2	4	6
3f6d82a7-7d53-4495-aebc-b8a999c5f2cb	3878	3870	-8	25.970861	25.750388	-0.220474	0	63	0.0162454874	98.375451	98.383372	3834	17	19	27
4a035866-d8fa-46e4-b2b0-c38224505ba4	225	300	75	2.124444	3.213333	1.088889	0	145	0.4833333333	51.666667	51.666667	155	70	75	0
4c5a507c-3460-4de4-a55a-7f9cbca0c280	307	308	1	26.306189	25.068182	-1.238007	0	7	0.0227272727	97.727273	97.741935	303	2	3	2
4e5e0851-f8c0-4c23-8a8f-bb0889a3fa9f	2388	2384	-4	39.866415	40.011326	0.144910	0	4	0.0016750419	99.832496	99.832496	2384	0	0	4
512f75c1-c2f4-41cb-b675-b61d66604bac	1024	1025	1	36.199219	36.120000	-0.079219	0	6	0.0058536585	99.414634	99.415774	1021	1	3	2
