read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
531fd7b6-cd90-405a-9ddd-bacfe5aa5a97	4143	4164	21	37.943761	26.683477	-11.260283	0	161	0.0386647454	96.133525	96.181214	4055	36	73	52
533b9e5a-2150-4e55-9d9b-0d578ad8e8ff	988	988	0	34.991903	24.968623	-10.023279	0	34	0.0344129555	96.558704	96.593186	964	14	10	10
5ba17aa8-a282-4752-9130-94ffc5ac0604	929	934	5	33.207750	23.052463	-10.155288	0	41	0.0438972163	95.610278	95.647558	901	20	13	8
5cc572a8-0e04-4281-9b4b-38336e36b7b2	2648	2639	-9	41.322508	30.288367	-11.034141	0	57	0.0215256798	97.847432	97.859557	2606	18	15	24
6340f064-3a0f-4daf-8b94-bb5f5193b5db	680	675	-5	35.752941	25.714074	-10.038867	0	34	0.0500000000	95.000000	95.058140	654	13	8	13
63b26469-d16f-47a6-b6a0-1659fc295e04	1766	1760	-6	39.832390	27.007386	-12.825003	0	57	0.0322763307	96.772367	96.808511	1729	11	20	26
63f3be54-b789-471c-a3a6-b826605fe87b	1262	1265	3	38.992868	33.411067	-5.581801	0	30	0.0237154150	97.628458	97.639654	1241	15	9	6
6675022e-ea87-4ef7-991c-241707800147	3275	3292	17	40.177405	27.299514	-12.877891	0	154	0.0467800729	95.321993	95.389222	3186	41	65	48
6871158f-5836-4f3c-98c3-2c3504488212	2397	2382	-15	40.716729	29.126364	-11.590365	0	91	0.0379641218	96.203588	96.238115	2328	32	22	37
6a769cda-bda0-42c0-b1d7-d0c0aaee0571	5012	4978	-34	39.764765	31.346926	-8.417838	0	117	0.0233439745	97.665603	97.677650	4921	31	26	60
6ae240da-e9da-468d-a584-c65850665628	674	689	15	33.934718	25.105951	-8.828767	0	68	0.0986937591	90.130624	90.422535	642	11	36	21
6e7e1832-8d22-4421-98b0-29f0f362d862	1164	1163	-1	35.328179	29.945830	-5.382349	0	13	0.0111683849	98.883162	98.886986	1155	4	4	5
73088aa1-d6ca-441a-be7f-e5a9df3299bb	1420	1413	-7	40.418310	27.836518	-12.581792	0	60	0.0422535211	95.774648	95.818815	1375	23	15	22
7a4fc735-529f-4e60-aad3-817a7c709dad	2340	2344	4	35.955128	25.712457	-10.242671	0	122	0.0520477816	94.795222	94.897532	2269	24	51	47
7c7c4fa8-dc08-45fa-bf6d-1e24c02394c6	3462	3466	4	39.142403	29.728794	-9.413609	0	123	0.0354875938	96.451241	96.489726	3381	43	42	38
7dda118a-8f50-4708-a142-18ca4932d2f1	4258	4259	1	38.517379	26.123268	-12.394111	0	160	0.0375675041	96.243250	96.288564	4151	55	53	52
7ffe42ea-532b-4ca5-ad4d-a82e72a2aca4	3178	3160	-18	37.655758	28.869620	-8.786138	0	96	0.0302076778	96.979232	96.997185	3101	40	19	37
80c38d4b-6791-4fd6-a074-1eb7ab788715	1661	1652	-9	38.118001	28.144673	-9.973328	0	68	0.0409391933	95.906081	95.945140	1609	27	16	25
88341c25-73a2-4eaf-a06a-63136dc5af5b	652	647	-5	29.257669	23.782071	-5.475598	0	26	0.0398773006	96.012270	96.048632	632	9	6	11
8ae0ebd6-e9dc-4118-a0aa-48a4e6ce7652	3012	3005	-7	36.742032	23.492180	-13.249852	0	197	0.0654050465	93.459495	93.603896	2883	54	68	75
8e3d97db-b630-4271-a37a-3088aad53657	1006	1010	4	32.044732	22.683168	-9.361563	0	58	0.0574257426	94.257426	94.341463	967	24	19	15
9115685d-f53e-4f01-a57d-368fde280d5f	4360	4317	-43	32.068119	20.946722	-11.121397	0	254	0.0582568807	94.174312	94.255993	4168	87	62	105
9bc715b6-78b5-4a4c-9d5d-b11637783c57	2056	2037	-19	41.462062	30.700049	-10.762013	0	103	0.0500972763	94.990272	95.064686	1984	22	31	50
9c8054b1-10d3-4eab-b0a3-905f0705f723	3977	3948	-29	36.089263	25.367528	-10.721735	0	198	0.0497862711	95.021373	95.083188	3829	69	50	79
9cc12843-a393-46a3-aa28-a4ca1ef727f0	3115	3112	-3	35.976244	13.625964	-22.350280	0	386	0.1239165329	87.608347	88.023581	2837	167	108	111
9f1a43a8-8fbf-4eb4-ac9f-0d14cf363832	2098	2125	27	28.710200	19.599059	-9.111141	0	185	0.0870588235	91.294118	91.502067	1992	54	79	52
a02ab59b-fb67-4fa9-9481-0011552855b0	1974	1957	-17	39.581054	32.490547	-7.090507	0	52	0.0263424519	97.365755	97.373737	1928	23	6	23
a18665e6-045b-4a13-a436-49b92be54d79	3995	3971	-24	38.296120	26.163687	-12.132433	0	233	0.0583229036	94.167710	94.270961	3834	65	72	96
a5fbd683-7044-4430-9ee9-8a4e4731f7eb	1580	1615	35	39.231646	23.512693	-15.718952	0	75	0.0464396285	95.356037	95.395948	1554	12	49	14
a6671bd0-773a-44a0-9a0d-3e737f5d81f9	2040	2063	23	39.436765	32.298110	-7.138655	0	86	0.0416868638	95.831314	95.879253	2001	15	47	24
a9df8707-3e7d-4b6a-825a-b95fc7c0a5ba	887	883	-4	34.350620	22.645527	-11.705093	0	91	0.1025930101	89.740699	90.087146	827	25	31	35
aa0b4545-5e35-4ad8-865f-56409e9f0de7	1509	1534	25	40.648774	27.346806	-13.301968	0	85	0.0554106910	94.458931	94.533762	1470	18	46	21
ac9b7d3b-abe3-465e-adc9-658815d7fd24	3441	3403	-38	28.922406	19.375551	-9.546855	0	292	0.0848590526	91.514095	91.704545	3228	96	79	117
acc355b2-45cf-4d78-83ea-64881ae3cfed	3034	3016	-18	37.246539	26.129642	-11.116897	0	131	0.0431773237	95.682268	95.730117	2937	45	34	52
ada9a76e-444a-4340-b9e8-a56e1b2e1331	3992	3947	-45	31.579910	20.818596	-10.761313	0	221	0.0553607214	94.463928	94.529703	3819	80	48	93
ae6ddeb0-6ed2-4387-b62e-6e8381b3089c	1303	1291	-12	41.123561	31.615027	-9.508534	0	24	0.0184190330	98.158097	98.160920	1281	8	2	14
b2bcb217-5d3b-4191-9f2e-b401fdd07b3f	3032	3020	-12	38.079485	26.502649	-11.576836	0	104	0.0343007916	96.569921	96.605744	2960	28	32	44
b7fa546f-892e-4c87-8b8a-7c011de52df4	547	535	-12	30.893967	25.007477	-5.886490	0	23	0.0420475320	95.795247	95.818182	527	5	3	15
b9eb5d22-d22d-41be-91ef-e4241a3acbd5	2514	2485	-29	37.891806	25.524346	-12.367460	0	113	0.0449482896	95.505171	95.544164	2423	40	22	51
baaf4860-8c90-404b-a48d-bd6187d7a267	3254	3237	-17	33.641364	23.711461	-9.929903	0	229	0.0703749232	92.962508	93.118990	3099	64	74	91
bb31df33-8af7-4aeb-b936-abc56dcf49fe	4096	4006	-90	37.614258	21.606840	-16.007418	0	456	0.1113281250	88.867188	88.993483	3687	272	47	137
bc4732e4-8fdc-41bf-91c4-f692e74162d2	2575	2579	4	38.263301	31.156650	-7.106651	0	55	0.0213260954	97.867390	97.877267	2536	27	16	12
bf3cc943-b54b-4bfb-b483-bd021f49f0f5	687	714	27	39.719068	26.976190	-12.742878	0	46	0.0644257703	93.557423	93.611111	674	7	33	6
bf76258d-dfb5-4043-9d97-ede55a8c2a83	1435	1440	5	24.625087	16.173611	-8.451476	0	113	0.0784722222	92.152778	92.333786	1361	40	39	34
bfc1597e-9c8d-4ed5-ba72-e3adb904e330	1336	1336	0	37.803892	24.992515	-12.811377	0	65	0.0486526946	95.134731	95.224100	1296	15	25	25
c7a446af-8a57-4bcc-9745-f04da35285a1	927	927	0	28.341963	19.644013	-8.697950	0	68	0.0733549083	92.664509	92.834563	881	24	22	22
cb132e2a-c632-4bbd-bfee-21abc95e233c	3772	3761	-11	37.376988	27.602499	-9.774489	0	126	0.0334040297	96.659597	96.690307	3681	45	35	46
cee7f75d-52a4-4677-b621-8720fb6aa81a	534	527	-7	37.192884	21.690702	-15.502182	0	29	0.0543071161	94.569288	94.649446	513	6	8	15
d0096d12-3b6f-4370-9642-0aa78718c604	3180	3149	-31	34.185535	24.012702	-10.172832	0	150	0.0471698113	95.283019	95.343061	3071	37	41	72
d846cfcd-f95e-4823-9bb0-b9da2270f1f0	4447	4416	-31	32.901732	18.904438	-13.997293	0	320	0.0719586238	92.804138	92.953094	4221	101	94	125
dab4a681-d703-4de2-8a7e-f50f445e8095	2428	2419	-9	36.090198	27.459281	-8.630917	0	99	0.0407742998	95.922570	95.970696	2358	32	29	38
dbb83b1b-3deb-4026-9352-dd15e336a8c4	2547	2514	-33	32.424421	22.784010	-9.640411	0	165	0.0647820966	93.521790	93.624420	2423	50	41	74
e175ff6f-1cd6-44c9-abc5-50d4f1c0e30d	702	706	4	34.039886	27.794618	-6.245268	0	41	0.0580736544	94.192635	94.281729	676	15	15	11
ee842a20-739d-441c-b179-65807a9d3660	2344	2326	-18	39.409556	29.046862	-10.362695	0	75	0.0319965870	96.800341	96.820687	2284	27	15	33
f096a6ed-bc36-4f23-ab01-4de4666e5456	318	306	-12	24.506289	22.810458	-1.695832	0	22	0.0691823899	93.081761	93.146417	299	4	3	15
f677e898-b23d-48d0-a874-d3b68ef67972	518	512	-6	35.619691	23.576172	-12.043519	0	23	0.0444015444	95.559846	95.576923	497	13	2	8
f722a4e1-274d-4934-a200-0a0704b2683c	5619	5614	-5	39.835380	26.594585	-13.240795	0	238	0.0423562912	95.764371	95.825294	5463	69	82	87
f8938129-4431-4747-be8d-53fca8e0d080	287	326	39	30.972125	22.046012	-8.926113	0	49	0.1503067485	84.969325	85.015291	278	8	40	1
f9857bf0-af55-48c2-8e91-4371ac52ea3f	336	343	7	38.232143	24.556851	-13.675292	0	23	0.0670553936	93.294461	93.371758	324	8	11	4
fb601d87-8e43-420e-be9f-da2bd0c9f851	2832	2819	-13	33.862994	22.075913	-11.787081	0	142	0.0501412429	94.985876	95.055710	2730	49	40	53
fd55eaca-e3c3-4e2f-b2b5-0ae28929f2c9	955	938	-17	36.946597	29.976546	-6.970051	0	36	0.0376963351	96.230366	96.234310	920	17	1	18
fd7047b0-7aae-4b3b-b871-5570cf17068c	3617	3612	-5	39.540503	29.509136	-10.031367	0	102	0.0282001659	97.179983	97.204714	3547	33	32	37
