read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1538	1566	28	29.951235	26.380587	-3.570648	0	80	0.0510855683	94.891443	94.949495	1504	16	46	18
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	3145	3140	-5	40.947854	39.200637	-1.747217	0	17	0.0054054054	99.459459	99.460146	3132	4	4	9
0812e3c5-97ef-4297-8a99-8789e523ff34	3730	3724	-6	35.288204	30.493555	-4.794648	0	173	0.0463806971	95.361930	95.392810	3582	117	25	31
0ab78041-5951-4e3e-8ecf-46a380edf1f8	2323	2330	7	39.491175	36.627039	-2.864137	0	15	0.0064377682	99.356223	99.356775	2317	4	9	2
0c4cddec-181d-4f12-b068-1fc04dcce924	325	326	1	24.393846	26.046012	1.652166	0	9	0.0276073620	97.239264	97.247706	318	6	2	1
0e13ed29-4c55-4a48-acd0-9745414fd8be	3372	3368	-4	38.599644	36.920428	-1.679217	0	30	0.0088967972	99.110320	99.112426	3350	10	8	12
0f192d1b-b2ef-4e2c-a1e3-533100490fd5	2061	2052	-9	35.526929	35.023392	-0.503537	0	27	0.0131004367	98.689956	98.694391	2041	4	7	16
1329b616-0d49-41b3-8d12-426ec659d086	662	651	-11	30.938066	28.462366	-2.475701	0	22	0.0332326284	96.676737	96.696697	644	3	4	15
176feeba-ea05-4772-8c6e-4b97f97b136a	2549	2542	-7	38.842683	35.629032	-3.213651	0	22	0.0086308356	99.136916	99.138269	2531	7	4	11
177739d2-fb28-453b-a88c-19c65550871c	717	721	4	40.390516	37.654646	-2.735870	0	6	0.0083217753	99.167822	99.167822	715	2	4	0
18e4a73b-e09a-493b-ba25-15c797e5864b	404	407	3	34.400990	31.550369	-2.850622	0	15	0.0368550369	96.314496	96.332518	394	8	5	2
19dfcdae-1802-4735-9d80-5dd6f3bf0055	739	741	2	27.604871	28.383266	0.778394	0	28	0.0377867746	96.221323	96.251673	719	14	8	6
1bdef138-b878-4168-aeea-2a2551ecd48e	544	544	0	35.257353	34.867647	-0.389706	1	0	0.0000000000	100.000000	100.000000	544	0	0	0
1e013367-847f-4bd5-a6da-8750dd79935a	294	277	-17	2.493197	1.505415	-0.987782	0	37	0.1258503401	87.414966	87.414966	257	20	0	17
1f7014c9-7c36-4a5d-90ef-4759f46b947f	1646	1649	3	39.162211	36.592480	-2.569731	0	29	0.0175864160	98.241358	98.249849	1628	10	11	8
20a4eac0-51c1-409b-b2e7-4dafdcff9f92	4007	3999	-8	41.190916	39.990248	-1.200668	0	26	0.0064886449	99.351136	99.352106	3987	6	6	14
21754b1a-558c-4150-b9d5-3f0683319771	726	724	-2	41.059229	37.453039	-3.606190	0	7	0.0096418733	99.035813	99.037139	720	3	1	3
23b7700e-9586-485f-87bd-a89e6c2790c7	4087	4080	-7	37.272327	35.275245	-1.997082	0	40	0.0097871299	99.021287	99.023676	4057	13	10	17
247261cf-d768-4c4b-aab1-7432593cf99e	1657	1701	44	35.820760	33.618460	-2.202301	0	66	0.0388007055	96.119929	96.135831	1642	8	51	7
2472d10d-f5a6-4945-bf3f-8f30573d2d23	1275	1273	-2	35.193725	33.630008	-1.563718	0	24	0.0188235294	98.117647	98.125000	1256	12	5	7
24ad99de-3703-4e9f-8b9a-938ea3982619	2666	2629	-37	39.468117	37.258653	-2.209464	0	57	0.0213803451	97.861965	97.868362	2617	4	8	45
250ca00f-6175-49c6-aa39-3cc7d77d38f8	2066	2097	31	39.966602	37.938007	-2.028595	0	42	0.0200286123	97.997139	98.000952	2059	3	35	4
26ba733d-e186-4bef-9432-a056a157b564	5652	5649	-3	38.576964	37.871305	-0.705659	0	57	0.0100849257	98.991507	98.993999	5609	26	14	17
271d1f97-00fc-40c5-8241-7bfb6ccd7303	1579	1571	-8	41.305256	39.868237	-1.437020	0	8	0.0050664978	99.493350	99.493350	1571	0	0	8
292ef219-01db-4f93-b999-6d6a560aa355	399	400	1	25.974937	25.612500	-0.362437	0	28	0.0700000000	93.000000	93.187348	383	5	12	11
33087256-f1d2-418b-b69d-feb8f1fe0743	4347	4348	1	30.070623	30.427093	0.356469	0	47	0.0108095676	98.919043	98.921771	4312	24	12	11
345117ee-e4e5-403c-88cc-629c03ca7065	831	823	-8	37.701564	35.569866	-2.131698	0	11	0.0132370638	98.676294	98.676294	820	3	0	8
34f98559-c31d-4072-8747-16ad7da9fcfd	458	455	-3	34.163755	29.169231	-4.994525	0	13	0.0283842795	97.161572	97.186147	449	2	4	7
3a0a0061-6b4f-45ae-805a-0013d0c42a4e	644	644	0	38.574534	34.763975	-3.810559	0	7	0.0108695652	98.913043	98.916409	639	3	2	2
3af85a7e-656e-4db8-b7ef-8dca774297a4	2906	2910	4	37.629387	35.908591	-1.720796	0	35	0.0120274914	98.797251	98.800959	2884	13	13	9
3bac013a-0273-49c2-9709-941a37a22266	2889	2765	-124	29.464174	23.500904	-5.963270	0	349	0.1208030460	87.919695	88.096862	2583	139	43	167
3bda400f-5cb4-433c-8f8f-a7fa308ecabb	3581	3584	3	38.991902	36.568638	-2.423263	0	36	0.0100446429	98.995536	98.998609	3559	11	14	11
