read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1538	1564	26	29.951235	19.457801	-10.493435	0	133	0.0850383632	91.496164	91.671885	1464	41	59	33
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	3145	3129	-16	40.947854	31.012784	-9.935070	0	83	0.0263910970	97.360890	97.381703	3087	17	25	41
0812e3c5-97ef-4297-8a99-8789e523ff34	3730	3621	-109	35.288204	19.553991	-15.734213	0	381	0.1021447721	89.785523	89.944576	3408	154	59	168
0ab78041-5951-4e3e-8ecf-46a380edf1f8	2323	2325	2	39.491175	26.346667	-13.144509	0	92	0.0395698925	96.043011	96.095076	2264	28	33	31
0c4cddec-181d-4f12-b068-1fc04dcce924	325	360	35	24.393846	16.391667	-8.002179	0	62	0.1722222222	82.777778	83.106267	305	13	42	7
0e13ed29-4c55-4a48-acd0-9745414fd8be	3372	3368	-4	38.599644	27.628860	-10.970784	0	137	0.0406287070	95.937129	95.989461	3279	45	44	48
0f192d1b-b2ef-4e2c-a1e3-533100490fd5	2061	2045	-16	35.526929	25.359902	-10.167026	0	81	0.0393013100	96.069869	96.103896	1998	29	18	34
1329b616-0d49-41b3-8d12-426ec659d086	662	653	-9	30.938066	19.186830	-11.751236	0	53	0.0800604230	91.993958	92.182891	625	12	16	25
176feeba-ea05-4772-8c6e-4b97f97b136a	2549	2524	-25	38.842683	28.539620	-10.303064	0	73	0.0286386818	97.136132	97.150664	2489	22	13	38
177739d2-fb28-453b-a88c-19c65550871c	717	720	3	40.390516	29.622222	-10.768294	0	18	0.0250000000	97.500000	97.513812	706	7	7	4
18e4a73b-e09a-493b-ba25-15c797e5864b	404	407	3	34.400990	25.051597	-9.349393	0	16	0.0393120393	96.068796	96.097561	394	7	6	3
19dfcdae-1802-4735-9d80-5dd6f3bf0055	739	730	-9	27.604871	18.124658	-9.480214	0	61	0.0825439783	91.745602	91.909814	693	22	15	24
