read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1538	1530	-8	29.951235	29.581046	-0.370190	0	26	0.0169050715	98.309493	98.316062	1518	6	6	14
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	3145	3151	6	40.947854	40.978737	0.030883	0	11	0.0034909553	99.650904	99.651126	3142	1	8	2
0812e3c5-97ef-4297-8a99-8789e523ff34	3730	3754	24	35.288204	35.128396	-0.159807	0	129	0.0343633458	96.563665	96.568236	3630	95	29	5
0ab78041-5951-4e3e-8ecf-46a380edf1f8	2323	2333	10	39.491175	39.497643	0.006467	0	12	0.0051435919	99.485641	99.485861	2322	0	11	1
0c4cddec-181d-4f12-b068-1fc04dcce924	325	327	2	24.393846	24.241590	-0.152256	0	7	0.0214067278	97.859327	97.859327	320	5	2	0
0e13ed29-4c55-4a48-acd0-9745414fd8be	3372	3373	1	38.599644	38.731989	0.132345	0	15	0.0044470798	99.555292	99.555819	3362	6	5	4
0f192d1b-b2ef-4e2c-a1e3-533100490fd5	2061	2060	-1	35.526929	35.246117	-0.280812	0	10	0.0048520136	99.514799	99.515504	2054	3	3	4
1329b616-0d49-41b3-8d12-426ec659d086	662	659	-3	30.938066	30.591806	-0.346261	0	9	0.0135951662	98.640483	98.642534	654	4	1	4
176feeba-ea05-4772-8c6e-4b97f97b136a	2549	2546	-3	38.842683	38.762765	-0.079918	0	9	0.0035307964	99.646920	99.647059	2541	4	1	4
177739d2-fb28-453b-a88c-19c65550871c	717	717	0	40.390516	40.571827	0.181311	1	0	0.0000000000	100.000000	100.000000	717	0	0	0
18e4a73b-e09a-493b-ba25-15c797e5864b	404	405	1	34.400990	34.293827	-0.107163	0	2	0.0049382716	99.506173	99.506173	403	1	1	0
19dfcdae-1802-4735-9d80-5dd6f3bf0055	739	745	6	27.604871	26.691275	-0.913596	0	14	0.0187919463	98.120805	98.123324	732	6	7	1
1bdef138-b878-4168-aeea-2a2551ecd48e	544	544	0	35.257353	35.211397	-0.045956	1	0	0.0000000000	100.000000	100.000000	544	0	0	0
1e013367-847f-4bd5-a6da-8750dd79935a	294	297	3	2.493197	2.185185	-0.308012	0	15	0.0505050505	94.949495	94.949495	282	12	3	0
1f7014c9-7c36-4a5d-90ef-4759f46b947f	1646	1643	-3	39.162211	39.505782	0.343571	0	10	0.0060753341	99.392467	99.392835	1637	5	1	4
20a4eac0-51c1-409b-b2e7-4dafdcff9f92	4007	4003	-4	41.190916	40.796153	-0.394763	0	9	0.0022460694	99.775393	99.775449	3999	3	1	5
21754b1a-558c-4150-b9d5-3f0683319771	726	727	1	41.059229	41.009629	-0.049600	0	1	0.0013755158	99.862448	99.862448	726	0	1	0
23b7700e-9586-485f-87bd-a89e6c2790c7	4087	4096	9	37.272327	37.462402	0.190075	0	10	0.0024414062	99.755859	99.755859	4086	1	9	0
247261cf-d768-4c4b-aab1-7432593cf99e	1657	1661	4	35.820760	35.914509	0.093749	0	17	0.0102347983	98.976520	98.980204	1650	1	10	6
2472d10d-f5a6-4945-bf3f-8f30573d2d23	1275	1273	-2	35.193725	35.242734	0.049008	0	15	0.0117647059	98.823529	98.826291	1263	7	3	5
24ad99de-3703-4e9f-8b9a-938ea3982619	2666	2669	3	39.468117	39.207568	-0.260549	0	26	0.0097414762	99.025852	99.028037	2649	11	9	6
250ca00f-6175-49c6-aa39-3cc7d77d38f8	2066	2067	1	39.966602	39.789066	-0.177536	0	6	0.0029027576	99.709724	99.709865	2062	3	2	1
26ba733d-e186-4bef-9432-a056a157b564	5652	5657	5	38.576964	38.656001	0.079038	0	17	0.0030051264	99.699487	99.699647	5643	6	8	3
271d1f97-00fc-40c5-8241-7bfb6ccd7303	1579	1577	-2	41.305256	41.629677	0.324420	0	2	0.0012666244	99.873338	99.873338	1577	0	0	2
292ef219-01db-4f93-b999-6d6a560aa355	399	396	-3	25.974937	26.994949	1.020012	0	12	0.0300751880	96.992481	97.014925	390	3	3	6
33087256-f1d2-418b-b69d-feb8f1fe0743	4347	4352	5	30.070623	30.068244	-0.002379	0	22	0.0050551471	99.494485	99.494949	4334	9	9	4
345117ee-e4e5-403c-88cc-629c03ca7065	831	828	-3	37.701564	37.938406	0.236841	0	4	0.0048134777	99.518652	99.518652	827	1	0	3
34f98559-c31d-4072-8747-16ad7da9fcfd	458	456	-2	34.163755	34.530702	0.366946	0	5	0.0109170306	98.908297	98.910675	454	1	1	3
3a0a0061-6b4f-45ae-805a-0013d0c42a4e	644	646	2	38.574534	38.026316	-0.548218	0	3	0.0046439628	99.535604	99.535604	643	1	2	0
3af85a7e-656e-4db8-b7ef-8dca774297a4	2906	2904	-2	37.629387	37.869146	0.239759	0	14	0.0048176187	99.518238	99.518900	2896	4	4	6
3bac013a-0273-49c2-9709-941a37a22266	2889	2881	-8	29.464174	29.353002	-0.111172	0	92	0.0318449290	96.815507	96.824301	2805	68	8	16
3bda400f-5cb4-433c-8f8f-a7fa308ecabb	3581	3579	-2	38.991902	38.825650	-0.166252	0	11	0.0030717677	99.692823	99.693080	3573	3	3	5
3f6d82a7-7d53-4495-aebc-b8a999c5f2cb	3878	3881	3	25.970861	25.514300	-0.456561	0	53	0.0136562742	98.634373	98.641026	3847	12	22	19
4a035866-d8fa-46e4-b2b0-c38224505ba4	225	304	79	2.124444	2.588816	0.464371	0	79	0.2598684211	74.013158	74.013158	225	0	79	0
4c5a507c-3460-4de4-a55a-7f9cbca0c280	307	310	3	26.306189	26.325806	0.019618	0	9	0.0290322581	97.096774	97.115385	303	2	5	2
4e5e0851-f8c0-4c23-8a8f-bb0889a3fa9f	2388	2390	2	39.866415	39.705439	-0.160976	0	9	0.0037656904	99.623431	99.623746	2383	3	4	2
512f75c1-c2f4-41cb-b675-b61d66604bac	1024	1026	2	36.199219	36.248538	0.049319	0	6	0.0058479532	99.415205	99.415205	1020	4	2	0
526cc707-ddf4-4a23-a99f-1af600cfb195	283	286	3	21.950530	21.657343	-0.293187	0	8	0.0279720280	97.202797	97.222222	280	1	5	2
531fd7b6-cd90-405a-9ddd-bacfe5aa5a97	4143	4141	-2	37.943761	37.816952	-0.126808	0	9	0.0021723389	99.782766	99.782871	4136	3	2	4
533b9e5a-2150-4e55-9d9b-0d578ad8e8ff	988	987	-1	34.991903	35.129686	0.137783	0	3	0.0030364372	99.696356	99.696663	986	0	1	2
5ba17aa8-a282-4752-9130-94ffc5ac0604	929	929	0	33.207750	33.512379	0.304629	0	6	0.0064585576	99.354144	99.355532	925	2	2	2
5cc572a8-0e04-4281-9b4b-38336e36b7b2	2648	2648	0	41.322508	41.320242	-0.002266	1	0	0.0000000000	100.000000	100.000000	2648	0	0	0
6340f064-3a0f-4daf-8b94-bb5f5193b5db	680	679	-1	35.752941	35.652430	-0.100511	0	1	0.0014705882	99.852941	99.852941	679	0	0	1
63b26469-d16f-47a6-b6a0-1659fc295e04	1766	1762	-4	39.832390	39.690692	-0.141697	0	9	0.0050962627	99.490374	99.490662	1758	3	1	5
63f3be54-b789-471c-a3a6-b826605fe87b	1262	1263	1	38.992868	39.082344	0.089475	0	6	0.0047505938	99.524941	99.525316	1258	3	2	1
6675022e-ea87-4ef7-991c-241707800147	3275	3274	-1	40.177405	40.006720	-0.170685	0	2	0.0006106870	99.938931	99.938931	3273	1	0	1
6871158f-5836-4f3c-98c3-2c3504488212	2397	2398	1	40.716729	40.452460	-0.264269	0	2	0.0008340284	99.916597	99.916597	2396	1	1	0
6a769cda-bda0-42c0-b1d7-d0c0aaee0571	5012	5010	-2	39.764765	39.560878	-0.203886	0	18	0.0035913807	99.640862	99.641291	5000	4	6	8
6ae240da-e9da-468d-a584-c65850665628	674	673	-1	33.934718	33.475483	-0.459235	0	4	0.0059347181	99.406528	99.406528	670	3	0	1
6e7e1832-8d22-4421-98b0-29f0f362d862	1164	1164	0	35.328179	35.225945	-0.102234	1	0	0.0000000000	100.000000	100.000000	1164	0	0	0
73088aa1-d6ca-441a-be7f-e5a9df3299bb	1420	1419	-1	40.418310	40.229739	-0.188571	0	11	0.0077464789	99.225352	99.226442	1411	6	2	3
7a4fc735-529f-4e60-aad3-817a7c709dad	2340	2340	0	35.955128	36.074786	0.119658	0	6	0.0025641026	99.743590	99.743918	2337	0	3	3
7c7c4fa8-dc08-45fa-bf6d-1e24c02394c6	3462	3463	1	39.142403	39.171528	0.029124	0	9	0.0025989027	99.740110	99.740260	3456	4	3	2
7dda118a-8f50-4708-a142-18ca4932d2f1	4258	4256	-2	38.517379	38.394032	-0.123347	0	13	0.0030530766	99.694692	99.695050	4250	1	5	7
7ffe42ea-532b-4ca5-ad4d-a82e72a2aca4	3178	3180	2	37.655758	37.281761	-0.373997	0	11	0.0034591195	99.654088	99.654305	3171	5	4	2
80c38d4b-6791-4fd6-a074-1eb7ab788715	1661	1667	6	38.118001	38.396521	0.278519	0	9	0.0053989202	99.460108	99.460108	1658	3	6	0
88341c25-73a2-4eaf-a06a-63136dc5af5b	652	651	-1	29.257669	30.016897	0.759228	0	8	0.0122699387	98.773006	98.776758	646	3	2	3
8ae0ebd6-e9dc-4118-a0aa-48a4e6ce7652	3012	3009	-3	36.742032	36.648721	-0.093311	0	37	0.0122841965	98.771580	98.774429	2982	20	7	10
8e3d97db-b630-4271-a37a-3088aad53657	1006	1007	1	32.044732	32.283019	0.238287	0	8	0.0079443893	99.205561	99.207136	1001	3	3	2
9115685d-f53e-4f01-a57d-368fde280d5f	4360	4365	5	32.068119	31.906758	-0.161361	0	17	0.0038946163	99.610538	99.610984	4353	2	10	5
9bc715b6-78b5-4a4c-9d5d-b11637783c57	2056	2052	-4	41.462062	41.826023	0.363961	0	4	0.0019455253	99.805447	99.805447	2052	0	0	4
9c8054b1-10d3-4eab-b0a3-905f0705f723	3977	3982	5	36.089263	35.939729	-0.149534	0	24	0.0060271220	99.397288	99.398195	3964	7	11	6
9cc12843-a393-46a3-aa28-a4ca1ef727f0	3115	3124	9	35.976244	35.506082	-0.470162	0	26	0.0083226633	99.167734	99.168798	3102	9	13	4
9f1a43a8-8fbf-4eb4-ac9f-0d14cf363832	2098	2087	-11	28.710200	28.959272	0.249071	0	37	0.0176358437	98.236416	98.243949	2070	8	9	20
a02ab59b-fb67-4fa9-9481-0011552855b0	1974	1970	-4	39.581054	39.323858	-0.257196	0	6	0.0030395137	99.696049	99.696049	1968	2	0	4
a18665e6-045b-4a13-a436-49b92be54d79	3995	3984	-11	38.296120	38.436245	0.140125	0	16	0.0040050063	99.599499	99.599600	3980	3	1	12
a5fbd683-7044-4430-9ee9-8a4e4731f7eb	1580	1580	0	39.231646	38.692405	-0.539241	1	0	0.0000000000	100.000000	100.000000	1580	0	0	0
a6671bd0-773a-44a0-9a0d-3e737f5d81f9	2040	2037	-3	39.436765	39.607757	0.170992	0	8	0.0039215686	99.607843	99.608035	2033	3	1	4
a9df8707-3e7d-4b6a-825a-b95fc7c0a5ba	887	883	-4	34.350620	34.097395	-0.253225	0	10	0.0112739572	98.872604	98.873874	878	4	1	5
